"","cps19_ResponseId","ethnicity","own_residence","cps19_income_cat","cps19_education","cps19_bornin_canada","education","language","votechoice","age_bracket","province"
"136","R_3e9Xu4Bc6CkscZW","Chinese",1,4,9,1,"Bachelors","English",2,"45-54","Ontario"
"137","R_3FOSYv5VL5lSWem","Canadian",1,9,7,1,"College/Trades","French",4,"65-74","Quebec"
"138","R_3rVzOmEyhSMedS9","Canadian",0,2,9,2,"Bachelors","English",2,"35-44","Saskatchewan"
"139","R_1eF2YTHbtkpiN4q","German",1,4,6,1,"College/Trades","English",5,"55-64","Ontario"
"140","R_3DkyeSlBH2rCKiT","German",0,3,11,2,"Postgrad","English",3,"65-74","Ontario"
"141","R_DqoBw7ZmMHWgHoB","English",1,7,9,1,"Bachelors","English_and_French",1,"35-44","Ontario"
"142","R_03uKnRBtdA1L6yR","Canadian",1,4,9,1,"Bachelors","English_and_French",2,"25-34","Alberta"
"143","R_xg9y7vveJfOhHrP","Irish",1,6,9,1,"Bachelors","French",4,"55-64","Quebec"
"144","R_6PQUIsQaUsOUJZ7","Canadian",1,7,9,1,"Bachelors","English",1,"55-64","Ontario"
"145","R_3FbxNxmMSArZfP3","English",1,6,9,1,"Bachelors","English",1,"55-64","Ontario"
"146","R_3M6k28KkMbiz5PW","Canadian",0,2,5,1,"High school","French",5,"18-24","Quebec"
"147","R_RF7tBoAipIydk2t","Irish",1,3,4,1,"No degree/ diploma","English",1,"65-74","Ontario"
"148","R_1HoCBsrbXZhUAvR","English",1,4,10,1,"Postgrad","English",1,"25-34","Ontario"
"149","R_23dSuZrdSAvnvUV","Scottish",1,4,9,1,"Bachelors","English",1,"65-74","Ontario"
"150","R_YWCbuTSQdmmcGKl","Chinese",1,5,10,2,"Postgrad","English",2,"35-44","Ontario"
"151","R_31HsUEjWfv8WU29","Canadian",1,4,10,1,"Postgrad","English",5,"75+","Ontario"
"152","R_2wvRaMrE7y5viXU","Canadian",1,2,8,1,"Bachelors","English",5,"25-34","Quebec"
"153","R_10vzNdaTVkbEaxL","Canadian",1,3,5,1,"High school","French",2,"55-64","Quebec"
"154","R_1dnUyqUZjOYJq6I","English",1,5,9,1,"Bachelors","English",2,"35-44","Ontario"
