"","Riding","Sex","Ethnic Origins","n","freq"
"381","Beauce","Male","Canadian",45125,0.753653444676409
"382","Beauce","Male","English",205,0.00342379958246347
"383","Beauce","Male","Scottish",170,0.002839248434238
"384","Beauce","Male","French",11335,0.189311064718163
"385","Beauce","Male","Irish",1470,0.0245511482254697
"386","Beauce","Male","German",305,0.00509394572025052
"387","Beauce","Male","Chinese",15,0.000250521920668058
"388","Beauce","Male","Italian",170,0.002839248434238
"389","Beauce","Male","First_Nations",1050,0.0175365344467641
"390","Beauce","Male","South_Asian",30,0.000501043841336117
"391","Beauport--Limoilou","Male","Canadian",29870,0.610838445807771
"392","Beauport--Limoilou","Male","English",615,0.0125766871165644
"393","Beauport--Limoilou","Male","Scottish",790,0.0161554192229039
"394","Beauport--Limoilou","Male","French",12560,0.256850715746421
"395","Beauport--Limoilou","Male","Irish",2110,0.0431492842535787
"396","Beauport--Limoilou","Male","German",555,0.0113496932515337
"397","Beauport--Limoilou","Male","Chinese",105,0.00214723926380368
"398","Beauport--Limoilou","Male","Italian",635,0.0129856850715746
"399","Beauport--Limoilou","Male","First_Nations",1435,0.0293456032719836
"400","Beauport--Limoilou","Male","South_Asian",225,0.00460122699386503
"401","Bécancour--Nicolet--Saurel","Male","Canadian",36520,0.704611229017943
"402","Bécancour--Nicolet--Saurel","Male","English",470,0.00906810727377966
"403","Bécancour--Nicolet--Saurel","Male","Scottish",460,0.00887516882114605
"404","Bécancour--Nicolet--Saurel","Male","French",10625,0.20499710592321
"405","Bécancour--Nicolet--Saurel","Male","Irish",1480,0.0285548909897743
"406","Bécancour--Nicolet--Saurel","Male","German",485,0.00935751495273008
"407","Bécancour--Nicolet--Saurel","Male","Chinese",30,0.00057881535790083
"408","Bécancour--Nicolet--Saurel","Male","Italian",385,0.00742813042639398
"409","Bécancour--Nicolet--Saurel","Male","First_Nations",1365,0.0263360987844877
"410","Bécancour--Nicolet--Saurel","Male","South_Asian",10,0.00019293845263361
"411","Bellechasse--Les Etchemins--Lévis","Male","Canadian",43395,0.692436572522738
"412","Bellechasse--Les Etchemins--Lévis","Male","English",415,0.00662198819211744
"413","Bellechasse--Les Etchemins--Lévis","Male","Scottish",545,0.0086963459390458
"414","Bellechasse--Les Etchemins--Lévis","Male","French",14340,0.228817616084251
"415","Bellechasse--Les Etchemins--Lévis","Male","Irish",1870,0.0298388383596617
"416","Bellechasse--Les Etchemins--Lévis","Male","German",520,0.00829743098771342
"417","Bellechasse--Les Etchemins--Lévis","Male","Chinese",70,0.00111696186373065
"418","Bellechasse--Les Etchemins--Lévis","Male","Italian",510,0.00813786500718047
"419","Bellechasse--Les Etchemins--Lévis","Male","First_Nations",965,0.0153981171214297
"420","Bellechasse--Les Etchemins--Lévis","Male","South_Asian",40,0.000638263922131801
"421","Beloeil--Chambly","Male","Canadian",40070,0.595747844186738
"422","Beloeil--Chambly","Male","English",1610,0.0239369610466845
"423","Beloeil--Chambly","Male","Scottish",1215,0.018064228367529
"424","Beloeil--Chambly","Male","French",16490,0.245168004757657
"425","Beloeil--Chambly","Male","Irish",3290,0.0489146595301814
"426","Beloeil--Chambly","Male","German",945,0.014049955396967
"427","Beloeil--Chambly","Male","Chinese",160,0.0023788284269997
"428","Beloeil--Chambly","Male","Italian",1700,0.0252750520368718
"429","Beloeil--Chambly","Male","First_Nations",1700,0.0252750520368718
"430","Beloeil--Chambly","Male","South_Asian",80,0.00118941421349985
