"cps19_ResponseId","votechoice"
"R_6hwE8TsPGe5DvHz",5
"R_1gbXsomNmdwwaDI",2
"R_1Q3lZMNgJZgsPws",2
"R_eQmls1CX8xJiUg1",1
"R_21dOatnEG6at8fC",2
"R_2AM8MXZ7mzLYTIj",9
"R_2EgBmNRrKwsloXi",9
"R_e9Z935oonMdUlSF",9
"R_NWQklNzqjeRw28p",1
"R_1hyWWmzolSQJr9j",9
"R_3IYOl7HzM73hhoc",1
"R_3QXFi6DCdfjQOuO",1
"R_3CDY4gDmFOQeTGB",3
"R_2rMxXeAVObNMhkc",1
"R_2zAxUtxNimG6U8P",1
"R_w0gH1c3nlr1DQKR",2
"R_WvAsBAq1CKO4MP7",1
"R_2EGnr9wNzrkyn6S",3
"R_UQJqj9sPbudXx9T",2
"R_22LDpd0ufKwUt72",3
"R_27CHmENx2OnOtUv",1
"R_3KW6ff71Z77mbFX",9
"R_2dnACoohrLDqrzv",1
"R_2pQOIoi1Q72GgYE",5
"R_eagwrUYZmoYjjwJ",9
"R_1F3WRrxBlkHsC3n",9
"R_6D0o0mtsSYsE8fv",3
"R_1jfB9QGQ6VQ9Gal",1
"R_3gZXIxuLvc8x3tT",5
"R_8dgkg3BELHFf97j",1
"R_2ccNmCqb9mMjD1u",9
"R_31SeF0u0pSqPGv9",2
"R_3EyZpQfWHWDNeEN",5
"R_8e6Q8Ld5k3MiOBj",2
"R_aWwXehbRJURuVXj",9
"R_2zj8cBR2SvfK75w",1
"R_tQisdxAZ9pjREeR",9
"R_3ps9UcX2gPxUbV2",1
"R_1kXDi6VQuaJayPW",9
"R_2ZVSp83mLt9VDkt",5
"R_1LSvwUD4vDxNtB2",2
"R_3M6w4JnD2o6jZY3",9
"R_BEfD4454WKolhHr",5
"R_3qQnpmpai8IjJ4t",2
"R_2AYlwO3keBiRWW4",5
"R_7WB5qmdKcIdqN0t",2
"R_potjJp7X6q7UVRT",6
"R_31NOS9qVRzvPGeg",2
"R_1DBTwecLjDCyqn9",2
"R_20NewS6kMoO6KaY",1
"R_PBU6xO0cVqL8VnX",2
"R_3lDJ7CzHm01f1jq",3
"R_2WM8gLQvk9yIxwB",3
"R_dp43OSUOknCpTnX",1
"R_3Ej9UTYu96qBGM7",9
"R_3ETsEvkWbN7wiMl",5
"R_2sjgYDTxIeeIi7D",9
"R_2B4gPDT9cpf2GJe",1
"R_yvSc9MoNDhphtYZ",2
"R_1mtiYgpeIhl6MBu",4
"R_zU97OqYwU4onifL",2
"R_1eXmX6vR2el5Hai",3
"R_6RPAvNtx48HTmY9",3
"R_OpNtEGRq137VK4F",1
"R_3nvjacWS8TQY8gP",2
"R_9LCkZYCJosjQiTT",5
"R_3M9d9R3W7gBcfEv",1
"R_3p4uqmGQurFFBAE",3
"R_emQjGcjkI3Vsvn3",3
