,cps19_ResponseId,ethnicity
589,R_bEDNTyngh3r7Bip,Canadian
590,R_3Ph6xxgQAB6tVgL,Canadian
591,R_3nAu6lB99wd2m8J,German
594,R_rrSibgLDAOnbuY9,Canadian
595,R_1jND1By9Mi4rjk8,English
597,R_Pz9tGrZIQrIKC3v,Canadian
598,R_27f0UcAnR2isfTH,Canadian
599,R_1JDU29EhlyVB2iZ,Canadian
600,R_3FIgHk2m1gfKT3a,Canadian
602,R_268VLNpTjcJA3BU,Canadian
603,R_2YrC3rqGHVw0w7q,Italian
606,R_26a9N5c0fmhqFMT,Canadian
608,R_1MLmkYWwXbt353v,Canadian
609,R_1g8spMjlSySvT61,Canadian
610,R_116Mm1EiH1tIFYI,Scottish
612,R_27JxqBgfBFuiiZf,Canadian
614,R_02PKl3Q8YQg9vDX,English
615,R_26hkH6Qwgb346Tc,Indian
616,R_bxcVKkEZinvKhPz,Canadian
617,R_11ZmcpABH3M06it,Canadian
618,R_elF2I9IxHGMuYmd,Indian
620,R_2BzmhUCh5VwNpnF,Canadian
621,R_6y9hM6YRWSw3isF,Canadian
622,R_4IUTYwYEKwP6NBD,Canadian
623,R_3Jq2Jgt9PRv1rTy,Canadian
624,R_30db2ywGohxn577,Canadian
625,R_2y3EnxIebAJ8Zwe,Canadian
628,R_YWfYvqaPmGsIPHb,Italian
630,R_27dl2TC0T3pP2kE,English
631,R_3iWps4T08Df7DeR,Canadian
632,R_1dc2S8iQcb1kWCj,English
633,R_5pDMolN07aJqURH,Canadian
634,R_djzdWK128TmH2db,Canadian
636,R_TuBXZeSfG9BayJj,Italian
637,R_1gGYvUaFo8EwCFk,Canadian
638,R_27VDaPwiNiKQM5h,Canadian
639,R_2ts2dUPpRRv7QVQ,Canadian
640,R_30dj0oRq9VKaC13,French
641,R_2E0K4nM4jNzvufY,Canadian
642,R_3EyYhRIghBqY3Ia,English
643,R_2P1eL8mtcyvahLk,Chinese
644,R_3MoHljt24Tg5dOF,Canadian
646,R_30f8pw11d2Loi7p,English
647,R_VQjHQLkSjCW9oM9,Canadian
648,R_BJ56vWKQaRhGiTD,English
649,R_1plCdHUd5wHnqNE,Canadian
650,R_s6eMTLGXIjgMj61,Canadian
651,R_2sSiXO8KSYGm7EE,Canadian
652,R_2rMTQVMAEKgk0pt,Canadian
653,R_20SZg6ew5A9FP2x,Canadian
654,R_12tmY8N2PKUubCl,Canadian
657,R_3kjts2FgDqF0cAl,French
658,R_2azVyvh53gylEJi,Canadian
659,R_1jJLJjMfPY7qHww,French
660,R_Td5Susaw3Cvfcjv,Canadian
662,R_2f1fpryu9Ev6Kbf,Canadian
663,R_1n0xFy4lkt9QIAV,Canadian
665,R_12eTIWKlxKkvQcK,Canadian
667,R_3PLWfy8BAclvz2p,Canadian
669,R_2wHtIpIBfyTkoLN,Canadian
671,R_3gS3hG5WrSeBWZQ,French
674,R_24CyANA1YcpNSz7,Canadian
675,R_1MqvAStgpIepUvD,Canadian
676,R_41nqTT69ejjjbFf,German
677,R_2CqqZeG1jQSxJwL,English
678,R_1kS2ikCV9T2OhyK,Canadian
679,R_2OVAQvuC5zHZXj9,Canadian
680,R_3PiayR2vQLjQmFs,French
681,R_YSy04Ufmvr0kGsN,French
682,R_DqHKfztQL6ysGmB,Canadian
683,R_3L57lgazltwlWOC,Chinese
684,R_2V282TpCWM50Hal,Canadian
685,R_3maVl8VdhAiHCiG,Canadian
689,R_1llTK06TWAJoYfc,Canadian
690,R_WqHQj9QWlozT9mN,German
692,R_3m95YaTl7ZSagHL,English
693,R_OdNSnDwfhXQwD8R,Canadian
694,R_2QG5L4P3ZqdTYox,Canadian
695,R_Tcv83eNYmnj7Fpn,Canadian
696,R_r1Goq9HW2qvMfHb,English
697,R_vr7q5lMKCFXb0nn,Canadian
698,R_3PM63vtVqvHvGL2,Canadian
700,R_23ggCu2AvhyIS9b,Canadian
701,R_VLv2HR3wjvenVXH,Canadian
702,R_1mqhxGcuake3CnY,Canadian
705,R_vJPd12PFZTrjzbP,Canadian
711,R_1jwB4D0wZ159LiE,Canadian
712,R_2f7H0CaFi2WNOsh,Canadian
714,R_2zpeyF83op6P94c,Canadian
715,R_3iR3wtkqQj8Wpnq,Canadian
716,R_2f7YmLDFX9GpcCt,English
717,R_1pF1YWjSKFKVMES,English
718,R_2DLIPw19IBoMqSc,English
719,R_ABBdj47VNJcq49j,Canadian
720,R_1DIvZPNndevtAbm,Canadian
722,R_1hSF8HsoiNpTw8I,Canadian
723,R_3DdbPXbdmfB2GGs,Canadian
724,R_bjUzzUiZmwD5LCF,Canadian
725,R_2uOg75a0mjjTUJQ,German
726,R_2yebNyYFK28BRJz,First Nations
727,R_24FQrBU1D0VSkTX,Chinese
728,R_pKJVVcZgkbFVh73,Canadian
729,R_1d18xb9GGKz5EUK,Chinese
