"cps19_ResponseId","language"
"R_3NyP1yCIHotebqi","Neither"
"R_1MQmofpmaXIbrQe","English"
"R_332rEqSUNpgeE1s","French"
"R_3GkuhewK17SFngU","English"
"R_1jev0enOUSS2Y1T","French"
"R_2y9oEzQGfp67Q8X","English"
"R_3PNNOq5vxPBJrLx","English"
"R_3gS1U7oGV05bTJ3","French"
"R_6EYfg9PLNyUAZDr","French"
"R_32VBjG3UNPdiHDG","English"
"R_2CV4HS6VDU25hXT","English"
"R_2f1zfy8Pg4DoPBn","French"
"R_x3e4nxnzetpJezD","Neither"
"R_2chfUUR8RiZTLBq","French"
"R_1OZTnsudSjxYnPk","English"
"R_1NaeV8T3u5uLxIy","English"
"R_2ZCUJFQrO9WQSw1","French"
"R_1LNWcvIIvcy2TIV","English"
"R_28YvU5w7h09BNgN","English"
"R_1gpbnuPz8DRxBpV","English"
"R_2zTib9CpFVtLgnq","English"
"R_1QrqQ2uPpDTK3Bj","French"
"R_1OjCFAnugrIpgOh","English"
"R_1Oq5NSkwcGgE9t9","English"
"R_74hqaqfwxoIGjyF","French"
"R_3MfLlx6Xb2KmanQ","English"
"R_6PyT5ZyMZkpTMt3","French"
"R_1gw1MWzEwqY4e0H","French"
"R_28CIKLHalrayXyH","French"
"R_3MuK4KvYj7EP9ps","English"
"R_3ixsLJ6sjtRAoZA","English_and_French"
"R_27295IePWJgviNc","English"
"R_wLUMwC3vnQhrwRj","English"
"R_2viU3hC6sMVpXMc","French"
"R_aauwU5huKxcj2bD","English"
"R_1LFnw0Hi1WyetMw","French"
"R_3rZKsrhpaJipFtv","French"
"R_3374ZmZaFAe3SD2","English"
"R_3ejTuopJEHD4Ppn","French"
"R_3P7WgdG2bp44Li4","English"
"R_3psRSM3J0Wm8t9k","French"
"R_3F58aluresiHdWP","English"
"R_A5Jx7wmuKlJshyh","French"
"R_z7pwlDxNwAji56V","French"
"R_3JJIzj24DqgUzbw","English"
"R_3QGDUYyiEJbza5H","English"
"R_2TZbdOcBrX2ogZa","English"
"R_1j7jiIv8mpd74Sr","French"
"R_r7nMHoo2HFvyqLn","English"
"R_068M0pjC6pLxnrP","English"
"R_3CTURJqDojS7q22","English"
"R_216AgN7aJ1DPJWj","English"
"R_3iPuzFmTezJgk4V","French"
"R_1JFmPR5npWyzCUI","English"
"R_22qRqLzMSLJrpBA","English"
"R_1MQYGHWikAMm9Bb","Neither"
"R_2xWeCYlYGWFmY12","English"
"R_2SeI42e5EMiUfsF","French"
"R_3MmoIf4WSNdQStj","English"
"R_25sci4nQTzswhxD","Neither"
"R_3m90RWYSBsWfxMX","French"
"R_pQ51hHsRueJ7kOt","English"
"R_p3Gd618o5Fvw1KF","English"
"R_1hG4MHT8CcIMNXa","English"
"R_1JXwnaWnYNBGj9H","French"
"R_1eJJ37SerK6rAIA","English"
"R_1Olf2vEAbinuohR","English"
"R_29nVQHDslDPFgEM","English"
"R_3HHL1rJYxRWOdRh","Neither"
"R_3harGWap6BljVmN","English"
"R_1Edi3DoieLhKxHp","French"
"R_3phuEIsrxG4Clmo","French"
"R_2wuHFkzIIUtyTrO","English_and_French"
"R_TdXyPoLBky38zYt","English"
"R_1eCzK6RISI49WDm","French"
"R_eeQJ18S9BvsCsuZ","English"
"R_1jvojew7nZTZPNH","English"
"R_2EFX5izTNWaZ5K9","English"
"R_12Pk9CKhp3Zjpwf","French"
"R_12gvvxCJlrNkBG2","French"
"R_3LgLBpFI09AWO8C","English_and_French"
"R_w6llo8ak6isdY3v","English"
"R_3KooJqreCaIuclH","English"
"R_6yrCn1PnBoIlaXn","French"
"R_27vNvpYoAPtIeBX","French"
"R_1jVA7952fg5RPVZ","French"
"R_CdV7zlt3FjzpcL7","English_and_French"
"R_3lJmX2TYy4Q82LU","English_and_French"
"R_1hETC0rWIuiGRhb","English"
"R_3JegHShciiFKZ7w","French"
"R_231eXErCBFZ6nYv","French"
"R_bEDNTyngh3r7Bip","French"
"R_3Ph6xxgQAB6tVgL","English_and_French"
"R_3nAu6lB99wd2m8J","English"
"R_31yhSoSGRiAD4DF","French"
"R_12fmMYBH57NLKzW","Neither"
"R_rrSibgLDAOnbuY9","English"
"R_1jND1By9Mi4rjk8","English"
"R_1jQdMWSrrnR270M","English_and_French"
"R_Pz9tGrZIQrIKC3v","French"
"R_27f0UcAnR2isfTH","English"
"R_1JDU29EhlyVB2iZ","French"
"R_3FIgHk2m1gfKT3a","English_and_French"
"R_1CIyYB67NJfZ4zO","French"
"R_268VLNpTjcJA3BU","French"
"R_2YrC3rqGHVw0w7q","English"
"R_RxGyBDopxfZaGCB","English"
"R_1DN1dYrnZyWa0F5","English"
"R_26a9N5c0fmhqFMT","French"
"R_129KH4Akk1uQYXe","French"
"R_1MLmkYWwXbt353v","English"
"R_1g8spMjlSySvT61","English"
"R_116Mm1EiH1tIFYI","English"
"R_3KrOK4ekkEdw1Fq","English"
"R_27JxqBgfBFuiiZf","French"
"R_wMo9CepbUBp788p","French"
"R_02PKl3Q8YQg9vDX","English"
"R_26hkH6Qwgb346Tc","English"
"R_bxcVKkEZinvKhPz","French"
"R_11ZmcpABH3M06it","French"
"R_elF2I9IxHGMuYmd","English"
"R_2S8CkEiNnOdiZuh","English"
"R_2BzmhUCh5VwNpnF","English"
"R_6y9hM6YRWSw3isF","English_and_French"
"R_4IUTYwYEKwP6NBD","French"
"R_3Jq2Jgt9PRv1rTy","English"
"R_30db2ywGohxn577","English"
"R_2y3EnxIebAJ8Zwe","English"
"R_21oH0dtnzQxXrxn","English"
"R_z8bVHGiHmaNvGsp","English_and_French"
"R_YWfYvqaPmGsIPHb","Neither"
"R_3KVcSWYyAZJUYFa","English_and_French"
"R_27dl2TC0T3pP2kE","English_and_French"
"R_3iWps4T08Df7DeR","English_and_French"
"R_1dc2S8iQcb1kWCj","English"
"R_5pDMolN07aJqURH","French"
"R_djzdWK128TmH2db","English_and_French"
"R_tQIAJ3nlQWX3cOZ","English"
