,cps19_ResponseId,cps19_province,cps19_age
412,R_2AYlwO3keBiRWW4,22,59
413,R_7WB5qmdKcIdqN0t,16,31
414,R_potjJp7X6q7UVRT,24,42
415,R_31NOS9qVRzvPGeg,22,76
416,R_1DBTwecLjDCyqn9,22,49
417,R_20NewS6kMoO6KaY,22,48
418,R_PBU6xO0cVqL8VnX,22,72
419,R_3lDJ7CzHm01f1jq,22,73
420,R_2WM8gLQvk9yIxwB,22,29
421,R_dp43OSUOknCpTnX,22,60
422,R_3Ej9UTYu96qBGM7,22,75
423,R_3ETsEvkWbN7wiMl,22,32
424,R_2sjgYDTxIeeIi7D,22,62
425,R_2B4gPDT9cpf2GJe,22,19
426,R_yvSc9MoNDhphtYZ,22,38
427,R_1mtiYgpeIhl6MBu,24,61
428,R_zU97OqYwU4onifL,22,62
429,R_1eXmX6vR2el5Hai,22,44
430,R_6RPAvNtx48HTmY9,15,34
431,R_OpNtEGRq137VK4F,24,24
432,R_3nvjacWS8TQY8gP,20,62
433,R_9LCkZYCJosjQiTT,24,31
434,R_3M9d9R3W7gBcfEv,24,34
435,R_3p4uqmGQurFFBAE,22,48
436,R_emQjGcjkI3Vsvn3,22,64
437,R_2TnMZ06hKmbTdvf,14,32
438,R_2aCYkrXZ1Weim3r,24,31
439,R_1pVT9DQqb6ybY7f,24,64
440,R_1ZCPvRAiK9belPj,22,76
441,R_33wpupd53eDyQgz,18,75
442,R_6XdpAU1oZUlNFnz,22,68
443,R_2aK4DX0jtPiqfRy,22,57
444,R_2Cjt5ZeTBXIVLJj,22,47
445,R_2UXzqUZTVPIXXn5,22,31
446,R_2c6DraUqsnKfi9f,22,18
447,R_eyb9obwN1lstOM1,20,69
448,R_ZHO0UMguCKWFL6p,22,28
449,R_1q1yxPRGa0Nwbla,22,39
450,R_3kzi7Ui1tW0wD4q,22,61
451,R_3dKfNJ9GdRZVDsa,24,45
452,R_vC7NkRvDpFpvyHT,22,81
453,R_1dmJjIr4H0WiGmg,22,47
454,R_1i3eUyRjwb5b56j,16,31
455,R_21vttM9TvtxfO3X,18,68
456,R_d6DrsDqQGIboop3,24,59
457,R_1eqo0jIkPRVKyNS,22,36
458,R_1CkgT7nmsxFPqx1,22,59
459,R_zcAcI7zbeTY3PIB,22,69
460,R_3MrFA2ktLdEK4n6,22,64
461,R_28P2EQMtzj9u2nB,22,54
462,R_2uDpsbpoPfeNUWa,22,34
463,R_12bhcnCJxkNLq1s,22,51
464,R_1dAF50FEG0yel9G,22,70
465,R_urzu1qBSCuUL6PD,22,21
466,R_2wpo81Ft0dmlUBI,22,35
467,R_2t2Ol2Kq6x1HaVo,22,71
468,R_xf6krTaSHcECfaF,20,63
469,R_ULwVGxWsgyKT8T7,24,39
470,R_2bJYx7HIghSpcTZ,18,48
471,R_1gMzkwPFqvgLs7H,24,39
472,R_3Em7zkSwCwfM1sw,22,39
473,R_22Q6q5p2jo0MvWs,24,51
474,R_4PjjWUP5nJ69nhL,24,29
475,R_25GXomDNmOeQ5mW,22,64
476,R_3O2NkCoDKRXE4nM,22,56
477,R_Uz5nIKNsEVVOkKd,24,63
478,R_3gRgNoVaQOZalpx,22,72
479,R_1porg5xViqdBH3L,24,18
480,R_2Bafrkjzm5RHJFQ,20,82
481,R_ByqOkdMO22smd7H,24,49
482,R_UMd6b5p2ZdfNmRH,22,35
483,R_2DOHny7XBOUTz0F,22,50
484,R_UWry4KLwjXqlN5f,22,66
485,R_1Qg7InMRsJ5l84Y,24,43
486,R_2wH9GeAtREdcWid,20,32
487,R_3iQnUaaNDCRSAgq,22,69
488,R_33ealWiuSsXFzO6,18,67
489,R_12bgvuwAFCtNXZo,24,48
490,R_1Kw0WAwUq1u8lvT,22,56
491,R_cOzrsO0DABrlEfT,22,53
492,R_2SdHVE41DAyqqRz,22,33
493,R_1mtm5QXlAEwtLB6,24,56
494,R_2QXOaOvlg2IuL6g,24,61
495,R_1qhceWFKcBC4ZOY,22,30
496,R_33rPepmAvw5d58n,15,47
497,R_3Jr5a63frgUMkYD,22,44
498,R_3NyP1yCIHotebqi,24,45
499,R_1MQmofpmaXIbrQe,22,40
500,R_332rEqSUNpgeE1s,24,46
501,R_3GkuhewK17SFngU,22,45
502,R_1jev0enOUSS2Y1T,24,41
503,R_2y9oEzQGfp67Q8X,22,57
504,R_3PNNOq5vxPBJrLx,22,33
505,R_3gS1U7oGV05bTJ3,24,67
506,R_6EYfg9PLNyUAZDr,24,55
507,R_32VBjG3UNPdiHDG,22,75
508,R_2CV4HS6VDU25hXT,22,55
509,R_2f1zfy8Pg4DoPBn,24,19
510,R_x3e4nxnzetpJezD,22,67
511,R_2chfUUR8RiZTLBq,24,68
512,R_1OZTnsudSjxYnPk,14,68
513,R_1NaeV8T3u5uLxIy,22,40
514,R_2ZCUJFQrO9WQSw1,24,64
515,R_1LNWcvIIvcy2TIV,22,35
516,R_28YvU5w7h09BNgN,22,61
517,R_1gpbnuPz8DRxBpV,22,57
518,R_2zTib9CpFVtLgnq,19,45
519,R_1QrqQ2uPpDTK3Bj,24,52
520,R_1OjCFAnugrIpgOh,22,30
521,R_1Oq5NSkwcGgE9t9,22,19
522,R_74hqaqfwxoIGjyF,24,45
523,R_3MfLlx6Xb2KmanQ,22,70
524,R_6PyT5ZyMZkpTMt3,22,55
525,R_1gw1MWzEwqY4e0H,24,65
526,R_28CIKLHalrayXyH,24,44
527,R_3MuK4KvYj7EP9ps,22,71
528,R_3ixsLJ6sjtRAoZA,22,62
529,R_27295IePWJgviNc,22,70
530,R_wLUMwC3vnQhrwRj,22,36
531,R_2viU3hC6sMVpXMc,24,56
532,R_aauwU5huKxcj2bD,22,72
533,R_1LFnw0Hi1WyetMw,24,59
534,R_3rZKsrhpaJipFtv,24,52
535,R_3374ZmZaFAe3SD2,22,83
536,R_3ejTuopJEHD4Ppn,24,62
537,R_3P7WgdG2bp44Li4,22,58
538,R_3psRSM3J0Wm8t9k,24,34
539,R_3F58aluresiHdWP,22,27
540,R_A5Jx7wmuKlJshyh,24,56
541,R_z7pwlDxNwAji56V,24,55
542,R_3JJIzj24DqgUzbw,22,72
543,R_3QGDUYyiEJbza5H,22,55
544,R_2TZbdOcBrX2ogZa,22,54
545,R_1j7jiIv8mpd74Sr,24,30
546,R_r7nMHoo2HFvyqLn,20,62
547,R_068M0pjC6pLxnrP,22,76
548,R_3CTURJqDojS7q22,24,64
549,R_216AgN7aJ1DPJWj,22,78
550,R_3iPuzFmTezJgk4V,24,26
551,R_1JFmPR5npWyzCUI,20,54
552,R_22qRqLzMSLJrpBA,22,63
553,R_1MQYGHWikAMm9Bb,22,76
554,R_2xWeCYlYGWFmY12,22,53
555,R_2SeI42e5EMiUfsF,24,62
556,R_3MmoIf4WSNdQStj,22,42
557,R_25sci4nQTzswhxD,15,84
558,R_3m90RWYSBsWfxMX,24,44
559,R_pQ51hHsRueJ7kOt,22,65
560,R_p3Gd618o5Fvw1KF,22,64
561,R_1hG4MHT8CcIMNXa,17,40
562,R_1JXwnaWnYNBGj9H,24,53
563,R_1eJJ37SerK6rAIA,22,50
564,R_1Olf2vEAbinuohR,17,71
565,R_29nVQHDslDPFgEM,22,53
566,R_3HHL1rJYxRWOdRh,22,29
567,R_3harGWap6BljVmN,22,49
568,R_1Edi3DoieLhKxHp,24,49
569,R_3phuEIsrxG4Clmo,24,69
570,R_2wuHFkzIIUtyTrO,22,56
571,R_TdXyPoLBky38zYt,22,64
572,R_1eCzK6RISI49WDm,24,71
573,R_eeQJ18S9BvsCsuZ,15,63
574,R_1jvojew7nZTZPNH,22,49
575,R_2EFX5izTNWaZ5K9,22,53
576,R_12Pk9CKhp3Zjpwf,19,54
577,R_12gvvxCJlrNkBG2,24,56
578,R_3LgLBpFI09AWO8C,22,70
579,R_w6llo8ak6isdY3v,22,49
580,R_3KooJqreCaIuclH,22,67
581,R_6yrCn1PnBoIlaXn,24,48
582,R_27vNvpYoAPtIeBX,24,53
583,R_1jVA7952fg5RPVZ,24,40
584,R_CdV7zlt3FjzpcL7,24,75
585,R_3lJmX2TYy4Q82LU,22,63
586,R_1hETC0rWIuiGRhb,22,38
587,R_3JegHShciiFKZ7w,24,31
588,R_231eXErCBFZ6nYv,24,37
589,R_bEDNTyngh3r7Bip,24,62
590,R_3Ph6xxgQAB6tVgL,24,52
591,R_3nAu6lB99wd2m8J,22,46
592,R_31yhSoSGRiAD4DF,24,47
593,R_12fmMYBH57NLKzW,22,81
594,R_rrSibgLDAOnbuY9,18,43
