"cps19_ResponseId","cps19_education","cps19_bornin_canada","education"
"R_PBU6xO0cVqL8VnX",7,1,"College/Trades"
"R_3lDJ7CzHm01f1jq",10,1,"Postgrad"
"R_2WM8gLQvk9yIxwB",3,1,"No degree/ diploma"
"R_dp43OSUOknCpTnX",9,1,"Bachelors"
"R_3Ej9UTYu96qBGM7",7,1,"College/Trades"
"R_3ETsEvkWbN7wiMl",10,1,"Postgrad"
"R_2sjgYDTxIeeIi7D",9,1,"Bachelors"
"R_2B4gPDT9cpf2GJe",5,1,"High school"
"R_yvSc9MoNDhphtYZ",10,1,"Postgrad"
"R_1mtiYgpeIhl6MBu",9,1,"Bachelors"
"R_zU97OqYwU4onifL",8,1,"Bachelors"
"R_1eXmX6vR2el5Hai",9,1,"Bachelors"
"R_6RPAvNtx48HTmY9",5,1,"High school"
"R_OpNtEGRq137VK4F",9,2,"Bachelors"
"R_3nvjacWS8TQY8gP",4,1,"No degree/ diploma"
"R_9LCkZYCJosjQiTT",6,1,"College/Trades"
"R_3M9d9R3W7gBcfEv",6,1,"College/Trades"
"R_3p4uqmGQurFFBAE",9,1,"Bachelors"
"R_emQjGcjkI3Vsvn3",6,1,"College/Trades"
"R_2TnMZ06hKmbTdvf",7,1,"College/Trades"
"R_2aCYkrXZ1Weim3r",10,1,"Postgrad"
"R_1pVT9DQqb6ybY7f",5,1,"High school"
"R_1ZCPvRAiK9belPj",9,1,"Bachelors"
"R_33wpupd53eDyQgz",7,1,"College/Trades"
"R_6XdpAU1oZUlNFnz",8,1,"Bachelors"
"R_2Cjt5ZeTBXIVLJj",7,1,"College/Trades"
"R_2UXzqUZTVPIXXn5",8,1,"Bachelors"
"R_2c6DraUqsnKfi9f",5,1,"High school"
"R_eyb9obwN1lstOM1",9,1,"Bachelors"
"R_ZHO0UMguCKWFL6p",6,1,"College/Trades"
"R_1q1yxPRGa0Nwbla",4,2,"No degree/ diploma"
"R_3kzi7Ui1tW0wD4q",5,1,"High school"
"R_3dKfNJ9GdRZVDsa",11,1,"Postgrad"
"R_vC7NkRvDpFpvyHT",6,1,"College/Trades"
"R_1dmJjIr4H0WiGmg",4,2,"No degree/ diploma"
"R_1i3eUyRjwb5b56j",7,1,"College/Trades"
"R_21vttM9TvtxfO3X",7,1,"College/Trades"
"R_d6DrsDqQGIboop3",8,2,"Bachelors"
"R_1eqo0jIkPRVKyNS",9,1,"Bachelors"
"R_1CkgT7nmsxFPqx1",9,1,"Bachelors"
"R_zcAcI7zbeTY3PIB",6,2,"College/Trades"
"R_3MrFA2ktLdEK4n6",5,1,"High school"
"R_28P2EQMtzj9u2nB",9,1,"Bachelors"
"R_2uDpsbpoPfeNUWa",10,2,"Postgrad"
"R_12bhcnCJxkNLq1s",9,2,"Bachelors"
"R_1dAF50FEG0yel9G",9,2,"Bachelors"
"R_urzu1qBSCuUL6PD",8,1,"Bachelors"
"R_2wpo81Ft0dmlUBI",5,1,"High school"
